iter	Passed	Remaining
696	1143	497
697	1144	495
698	1146	493
699	1148	492
700	1149	490
701	1150	488
702	1152	486
703	1154	485
704	1155	483
705	1156	481
706	1158	479
707	1159	478
708	1161	476
709	1162	474
710	1164	473
711	1165	471
712	1167	469
713	1168	468
714	1170	466
715	1171	464
716	1172	462
717	1175	461
718	1176	459
719	1178	458
720	1180	456
721	1181	455
722	1184	453
723	1187	452
724	1189	451
725	1191	449
726	1193	448
727	1196	447
728	1200	446
729	1203	445
730	1205	443
731	1207	442
732	1209	440
733	1212	439
734	1213	437
735	1215	436
736	1217	434
737	1219	432
738	1221	431
739	1223	429
740	1225	428
741	1227	426
742	1229	425
743	1231	423
744	1233	422
745	1235	420
746	1242	420
747	1244	419
748	1246	417
749	1247	415
750	1249	414
751	1252	412
752	1253	411
753	1256	410
754	1258	408
755	1260	406
756	1262	405
757	1264	403
758	1265	401
759	1267	400
760	1269	398
761	1271	397
762	1273	395
763	1275	393
764	1277	392
765	1279	390
766	1281	389
767	1283	387
768	1285	386
769	1287	384
770	1288	382
771	1290	381
772	1292	379
773	1294	377
774	1296	376
775	1298	374
776	1299	373
777	1301	371
778	1303	369
779	1306	368
780	1308	366
781	1309	365
782	1311	363
783	1313	361
784	1314	360
785	1317	358
786	1318	356
787	1320	355
788	1322	353
789	1323	351
790	1324	350
791	1326	348
792	1328	346
793	1330	345
794	1332	343
795	1333	341
796	1335	340
797	1337	338
798	1338	336
799	1340	335
800	1342	333
801	1343	331
802	1345	330
803	1347	328
804	1349	326
805	1351	325
806	1352	323
807	1354	321
808	1356	320
809	1358	318
810	1359	316
811	1361	315
812	1363	313
813	1364	311
814	1366	310
815	1368	308
816	1370	306
817	1371	305
818	1373	303
819	1375	301
820	1376	300
821	1378	298
822	1379	296
823	1381	295
824	1382	293
825	1384	291
826	1386	289
827	1387	288
828	1389	286
829	1390	284
830	1392	283
831	1395	281
832	1396	280
833	1398	278
834	1400	276
835	1401	274
836	1403	273
837	1404	271
838	1406	269
839	1408	268
840	1409	266
841	1411	264
842	1412	263
843	1414	261
844	1415	259
845	1417	258
846	1419	256
847	1420	254
848	1422	252
849	1423	251
850	1425	249
851	1426	247
852	1428	246
853	1429	244
854	1431	242
855	1432	241
856	1434	239
857	1436	237
858	1438	236
859	1439	234
860	1441	232
861	1442	230
862	1444	229
863	1446	227
864	1447	225
865	1449	224
866	1451	222
867	1452	220
868	1454	219
869	1456	217
870	1457	215
871	1459	214
872	1461	212
873	1463	210
874	1464	209
875	1466	207
876	1467	205
877	1469	204
878	1471	202
879	1472	200
880	1474	199
881	1475	197
882	1477	195
883	1478	194
884	1480	192
885	1481	190
886	1482	188
887	1484	187
888	1485	185
889	1487	183
890	1489	182
891	1490	180
892	1492	178
893	1493	177
894	1495	175
895	1497	173
896	1498	172
897	1500	170
898	1502	168
899	1503	167
900	1505	165
901	1506	163
902	1508	162
903	1509	160
904	1511	158
905	1512	156
906	1514	155
907	1516	153
908	1517	151
909	1519	150
910	1520	148
911	1522	146
912	1523	145
913	1525	143
914	1527	141
915	1528	140
916	1530	138
917	1531	136
918	1533	135
919	1535	133
920	1536	131
921	1538	130
922	1539	128
923	1541	126
924	1543	125
925	1544	123
926	1546	121
927	1548	120
928	1549	118
929	1551	116
930	1553	115
931	1554	113
932	1555	111
933	1557	110
934	1559	108
935	1560	106
936	1562	105
937	1563	103
938	1565	101
939	1566	100
940	1568	98
941	1570	96
942	1571	95
943	1573	93
944	1575	91
945	1576	89
946	1578	88
947	1579	86
948	1581	84
949	1582	83
950	1584	81
951	1586	79
952	1587	78
953	1589	76
954	1591	74
955	1593	73
956	1594	71
957	1596	69
958	1598	68
959	1599	66
960	1601	64
961	1603	63
962	1605	61
963	1606	60
964	1608	58
965	1610	56
966	1611	55
967	1613	53
968	1615	51
969	1616	50
970	1618	48
971	1619	46
972	1621	45
973	1623	43
974	1625	41
975	1627	40
976	1628	38
977	1630	36
978	1632	35
979	1633	33
980	1635	31
981	1637	30
982	1638	28
983	1640	26
984	1642	25
985	1643	23
986	1645	21
987	1646	19
988	1648	18
989	1649	16
990	1650	14
991	1652	13
992	1654	11
993	1655	9
994	1657	8
995	1658	6
996	1660	4
997	1661	3
998	1663	1
999	1664	0
